RF03333 MIPF0001034
RF03334 MIPF0001151
RF03335 MIPF0001121
RF03336 MIPF0000663
RF03337 MIPF0001805
RF03338 MIPF0001389
RF03339 MIPF0001196
RF03340 MIPF0001382
RF03341 MIPF0000690
RF03342 MIPF0001416
RF03343 MIPF0001022
RF03344 MIPF0001363
RF03345 MIPF0001177
RF03346 MIPF0000429
RF03347 MIPF0000884
RF03348 MIPF0000794
RF03349 MIPF0001394
RF03350 MIPF0001201
RF03351 MIPF0001610
RF03352 MIPF0001829
RF03353 MIPF0001293
RF03354 MIPF0001322
RF03355 MIPF0000729
RF03356 MIPF0001546
RF03357 MIPF0000788
RF03358 MIPF0000600
RF03359 MIPF0000816
RF03360 MIPF0000891
RF03361 MIPF0001575
RF03362 MIPF0002111
RF03363 MIPF0001423
RF03364 MIPF0000441
RF03365 MIPF0000689
RF03366 MIPF0001549
RF03367 MIPF0001038
RF03368 MIPF0001009
RF03369 MIPF0001912
RF03370 MIPF0000880
RF03371 MIPF0001573
RF03372 MIPF0001395
RF03373 MIPF0001637
RF03374 MIPF0000711
RF03375 MIPF0000400
RF03376 MIPF0001489
RF03377 MIPF0000897
RF03378 MIPF0001643
RF03379 MIPF0001390
RF03380 MIPF0002092
RF03381 MIPF0001057
RF03382 MIPF0000662
RF03383 MIPF0001633
RF03384 MIPF0002036
RF03385 MIPF0000647
RF03386 MIPF0000743
RF03387 MIPF0000791
RF03388 MIPF0002040
RF03389 MIPF0001521
RF03390 MIPF0000758
RF03391 MIPF0000681
RF03392 MIPF0001400
RF03393 MIPF0000876
RF03394 MIPF0001029
RF03395 MIPF0000721
RF03396 MIPF0001070
RF03397 MIPF0000593
RF03398 MIPF0002093
RF03399 MIPF0000860
RF03400 MIPF0001670
RF03401 MIPF0000617
RF03402 MIPF0000723
RF03403 MIPF0001738
RF03404 MIPF0000598
RF03405 MIPF0001441
RF03406 MIPF0001559
RF03407 MIPF0000607
RF03408 MIPF0001378
RF03409 MIPF0000605
RF03410 MIPF0000857
RF03411 MIPF0001071
RF03412 MIPF0001037
RF03413 MIPF0000379
RF03414 MIPF0000734
RF03416 MIPF0001662
RF03417 MIPF0000411
RF03418 MIPF0001216
RF03419 MIPF0000952
RF03420 MIPF0001036
RF03421 MIPF0000817
RF03422 MIPF0000597
RF03423 MIPF0001011
RF03424 MIPF0001847
RF03425 MIPF0000675
RF03426 MIPF0000603
RF03427 MIPF0000943
RF03428 MIPF0001445
RF03429 MIPF0001582
RF03430 MIPF0001303
RF03431 MIPF0002009
RF03432 MIPF0001736
RF03433 MIPF0001066
RF03434 MIPF0000627
RF03435 MIPF0001344
RF03436 MIPF0000706
RF03437 MIPF0001614
RF03438 MIPF0001470
RF03439 MIPF0001396
RF03440 MIPF0001299
RF03441 MIPF0000590
RF03442 MIPF0000840
RF03443 MIPF0001631
RF03444 MIPF0001283
RF03445 MIPF0001916
RF03446 MIPF0001032
RF03447 MIPF0001309
RF03448 MIPF0001412
RF03449 MIPF0001747
RF03450 MIPF0001360
RF03451 MIPF0001488
RF03452 MIPF0001417
RF03453 MIPF0000652
RF03454 MIPF0000640
RF03455 MIPF0002065
RF03456 MIPF0001616
RF03457 MIPF0001175
RF03458 MIPF0000677
RF03459 MIPF0000848
RF03460 MIPF0000623
RF03461 MIPF0001158
RF03462 MIPF0001848
RF03463 MIPF0001098
RF03464 MIPF0000384
RF03465 MIPF0001930
RF03466 MIPF0000592
RF03467 MIPF0001014
RF03468 MIPF0001052
RF03469 MIPF0000632
RF03470 MIPF0000757
RF03471 MIPF0001267
RF03472 MIPF0000798
RF03473 MIPF0002069
RF03474 MIPF0001764
RF03475 MIPF0001986
RF03476 MIPF0001649
RF03477 MIPF0001295
RF03478 MIPF0000653
RF03479 MIPF0000165
RF03480 MIPF0000604
RF03481 MIPF0002031
RF03482 MIPF0001578
RF03483 MIPF0001104
RF03484 MIPF0000261
RF03485 MIPF0000867
RF03486 MIPF0001599
RF03487 MIPF0001587
RF03488 MIPF0001403
RF03489 MIPF0001402
RF03490 MIPF0000692
RF03491 MIPF0001626
RF03492 MIPF0000434
RF03493 MIPF0000695
RF03494 MIPF0001988
RF03495 MIPF0000865
RF03496 MIPF0001302
RF03497 MIPF0001368
RF03498 MIPF0001427
RF03499 MIPF0001163
RF03500 MIPF0000595
RF03501 MIPF0001615
RF03502 MIPF0001040
RF03503 MIPF0000779
RF03504 MIPF0002000
RF03505 MIPF0002044
RF03506 MIPF0000563
RF03507 MIPF0001474
RF03508 MIPF0000700
RF03509 MIPF0001460
RF03510 MIPF0001397
RF03511 MIPF0001358
RF03512 MIPF0001629
RF03514 MIPF0001442
RF03516 MIPF0001323
RF03517 MIPF0001388
RF03518 MIPF0001812
RF03519 MIPF0000862
RF03520 MIPF0001766
RF03521 MIPF0001429
RF03522 MIPF0002086
RF03523 MIPF0001759
RF03524 MIPF0001569
RF03525 MIPF0001206
RF03526 MIPF0002020
RF03527 MIPF0001410
RF03528 MIPF0000098
RF03529 MIPF0000130
RF03548 MIPF0000658
RF03549 MIPF0001828
RF03550 MIPF0001803
RF03551 MIPF0000130
RF03552 MIPF0001285
RF03553 MIPF0001853
RF03554 MIPF0001099
RF03555 MIPF0001838
